Epoch,Train Loss,Validation Loss
1,1.0973658561706543,1.0969938039779663
2,1.034846544265747,1.0635066032409668
3,0.8488529622554779,1.026147484779358
4,1.043270856142044,1.048033595085144
5,0.7096405029296875,1.0348256826400757
6,0.7984465658664703,1.0159868001937866
7,0.8494653701782227,0.9573813676834106
8,0.6237128376960754,0.8295403122901917
9,0.5562489628791809,0.7442068457603455
10,0.44002285599708557,0.6812908053398132
11,0.5713524222373962,0.6855368614196777
12,0.44241368770599365,0.6510418057441711
13,0.464670330286026,0.5498874187469482
14,0.977512776851654,0.7388132810592651
15,0.9965247362852097,1.1451438665390015
16,0.5175666362047195,1.195401906967163
17,0.7198702394962311,1.0534743070602417
18,0.2237914353609085,0.7219939231872559
19,0.286041259765625,0.4311497211456299
20,0.2439812794327736,0.4246614873409271
21,0.318404421210289,0.37785619497299194
22,0.30229684710502625,0.35533657670021057
23,0.30170102417469025,0.5165331363677979
24,0.2942705452442169,0.7900834083557129
25,0.24518681317567825,0.9271175265312195
26,0.782000333070755,0.7079477310180664
27,0.14386475086212158,0.3691718578338623
28,0.19884136319160461,0.22661863267421722
29,0.2424026057124138,0.2934521436691284
30,0.30690325796604156,0.2564624845981598
31,0.1744123473763466,0.24944017827510834
32,0.13455847278237343,0.24320697784423828
33,0.3375857546925545,0.25076818466186523
34,0.1648094356060028,0.298098087310791
35,0.16607051342725754,0.2820262014865875
36,0.10138766467571259,0.25369933247566223
37,0.09166306536644697,0.26237988471984863
38,0.09805353358387947,0.22842566668987274
39,0.0914780292659998,0.1945568174123764
40,0.14920147508382797,0.1536496877670288
41,0.09342677611857653,0.18657520413398743
42,0.09880002588033676,0.171885147690773
43,0.4010818526148796,0.1819009631872177
44,0.4184420481324196,0.196869894862175
45,0.13314031064510345,0.27703943848609924
46,0.551128625869751,0.9732779860496521
47,0.14747678488492966,1.5526444911956787
48,0.7788493782281876,1.2011146545410156
49,0.27631521224975586,0.3386639356613159
50,0.2365880087018013,0.30094555020332336
51,0.8715845048427582,0.24653984606266022
52,0.4097369462251663,0.09305528551340103
53,0.17860988527536392,0.1294693797826767
54,0.514801912009716,0.17271506786346436
55,0.24014925211668015,0.141226127743721
56,0.14231466501951218,0.12228601425886154
57,0.18747649528086185,0.26473361253738403
58,0.17276818677783012,0.3384411334991455
59,0.2223336398601532,0.1993812918663025
60,0.13199108093976974,0.14129787683486938
61,0.21940575540065765,0.1537303775548935
62,0.1412404701113701,0.1515960693359375
63,0.09480632841587067,0.13871879875659943
64,0.7084082961082458,0.14352726936340332
65,0.07260144129395485,0.1641160249710083
66,0.11621299758553505,0.15442197024822235
67,0.08777150139212608,0.1455158293247223
68,0.08289894461631775,0.1573474109172821
69,0.24465864896774292,0.18179167807102203
70,0.1006898432970047,0.15972743928432465
71,0.06531279440969229,0.10520108789205551
72,0.06815582141280174,0.2079479992389679
73,0.7404101528227329,0.15338538587093353
74,0.6465062722563744,0.08808965235948563
75,0.09610531106591225,0.10249237716197968
76,0.11184410750865936,0.14000265300273895
77,0.10662964731454849,0.13922832906246185
78,0.12405464425683022,0.19234129786491394
79,0.88133754581213,0.1302073746919632
80,0.24077118933200836,0.2553604245185852
81,0.07704744674265385,0.44008874893188477
82,0.14457028359174728,0.6741286516189575
83,0.535869687795639,0.71803879737854
84,0.1705610305070877,0.6299409866333008
85,0.2182738035917282,0.3035827577114105
86,0.13071881234645844,0.24080348014831543
87,0.15093224123120308,0.17422398924827576
88,0.3215392008423805,0.1970069706439972
89,0.08795598521828651,0.11598984152078629
90,0.05525308661162853,0.1675296127796173
91,0.08117832243442535,0.1427900344133377
92,0.16798138618469238,0.1389564871788025
93,0.06414879020303488,0.130202978849411
94,0.9820560179650784,0.14958013594150543
95,0.23505276069045067,0.179779052734375
96,0.1562771275639534,0.17724572122097015
97,0.3448189049959183,0.3359506130218506
98,0.12505054473876953,0.7797361612319946
99,0.605932205915451,1.442326307296753
100,0.6454603523015976,1.512904405593872
101,0.6627114117145538,1.1821757555007935
102,0.34526078402996063,0.9483264684677124
103,0.3560727536678314,0.6167928576469421
104,0.32622797787189484,0.7769805788993835
105,0.341463565826416,0.5814821124076843
106,0.1920236274600029,0.15468665957450867
107,0.4569569230079651,0.26627516746520996
108,0.21059376746416092,0.2604430615901947
109,0.29722895473241806,0.10260006785392761
110,0.19595811888575554,0.3132551312446594
111,0.08147950936108828,0.35153549909591675
112,0.15113027393817902,0.33410823345184326
113,0.09978825226426125,0.3236839771270752
114,0.16933365166187286,0.35172906517982483
115,0.05942311277613044,0.3282516300678253
116,0.11031972989439964,0.29102036356925964
117,0.38143807649612427,0.2754315435886383
118,0.057978493394330144,0.2955113649368286
119,0.26268773525953293,0.25277847051620483
120,0.2850797288119793,0.17580051720142365
121,0.24271925538778305,0.10393810272216797
122,0.11207140237092972,0.1094043031334877
123,0.06408765073865652,0.1432744860649109
124,1.0627301447093487,0.28263211250305176
125,0.07994233816862106,0.1787121742963791
